Probe_ID	Gene_Symbol
3440079	ANXA4
1070451	ANXA5
450671	ANXA6
2490598	ANXA6
6180671	ANXA7
6330044	ANXA7
1400711	ANXA8
2490682	ANXA8
1580259	ANXA8L1
7330132	ANXA8L2
1260100	ANXA9
2940424	AOAH
580736	AOC2
4230307	AOC2
4290180	AOC2
6860309	AOC3
730725	AOF2
3780095	AOX1
5290487	AOX2P
730301	AP1B1
2470327	AP1B1
1820136	AP1G1
1850593	AP1G1
3130215	AP1G2
7400468	AP1G2
1580674	AP1GBP1
4610112	AP1GBP1
2190241	AP1M1
1170041	AP1M2
2190341	AP1S1
5490673	AP1S1
7040079	AP1S1
940706	AP1S2
1070192	AP1S2
4480491	AP1S3
1660072	AP2A1
4390180	AP2A1
5130019	AP2A1
6270041	AP2A2
1400605	AP2B1
2340451	AP2B1
240187	AP2M1
840148	AP2M1
3120228	AP2S1
6370661	AP2S1
2230603	AP3B1
4230360	AP3B2
1050053	AP3D1
4210612	AP3D1
6100719	AP3D1
2760202	AP3M1
6200437	AP3M1
6380523	AP3M1
3420128	AP3M2
7200402	AP3S1
2750286	AP3S2
510129	AP4B1
270343	AP4E1
2750168	AP4M1
2970669	AP4S1
1820324	APAF1
2760082	APAF1
430112	APBA1
520372	APBA1
3710053	APBA2
1580152	APBA2BP
7560243	APBA2BP
4070014	APBA3
1340040	APBB1
4570592	APBB1
6900180	APBB1
1820722	APBB1IP
380707	APBB2
990392	APBB2
4120279	APBB3
7320402	APBB3
5720722	APC
4180358	APC2
4280739	APCDD1
130138	APCDD1L
3460279	APCS
6620484	APEG1
450475	APEH
3120309	APEX1
6510053	APEX1
1430047	APEX2
1850221	APH1A
7550364	APH1A
7160224	APH1B
7050523	API5
6200202	APIP
7380010	APIP
1070360	APITD1
5960709	APITD1
4640477	APLF
7550673	APLF
7200427	APLN
4070438	APLNR
3140431	APLP1
7000008	APLP1
3060717	APLP2
3450577	APLP2
6270703	APM-1
4570364	APOA1
1570725	APOA1BP
